imdbid	title	wdid	rtid	mmid
tt0088794	Better Off Dead	Q1041839	1002213-better_off_dead	7694
tt0120619	Break Up	Q903604	1089151-break_up	4474
tt0080057	Zombi 2	Q903613	zombie	4260
tt0756648	The Fox and the Child	Q1193633	fox_and_the_child	43258
tt0064886	The Reivers	Q1193731	null	4689
tt0086605	Winners and Sinners	Q1193754	null	8705
tt0028141	The Prisoner of Shark Island	Q1193757	null	35127
tt0119007	East Palace, West Palace	Q1277970	east_palace_west_palace	3736
tt0492486	Shrooms	Q1278022	shrooms	44074
tt0166175	East Is East	Q1278073	null	3775
tt0808244	Easy Virtue	Q1278386	1202807-easy_virtue	48760
tt0424227	Turtles Can Fly	Q1278929	turtles_can_fly	28076
tt0796375	You Kill Me	Q1528457	1178913-1178913-you_kill_me	40013
tt0278488	How High	Q1541605	how_high	1904
tt0133046	Teaching Mrs. Tingle	Q1541608	teaching_mrs_tingle	853
tt0032762	The Mark of Zorro	Q1541847	1083004-mark_of_zorro	2528
tt0052933	It Happened to Jane	Q1542041	null	11838
tt0067991	Willard	Q1542073	null	15560
tt0366532	Seducing Doctor Lewis	Q1218528	seducing_doctor_lewis	22961
tt0065797	The Great White Hope	Q1218542	great_white_hope	27203
tt0059245	The Greatest Story Ever Told	Q1218601	greatest_story_ever_told	9713
tt0074205	The Big Bus	Q1218613	big_bus	6154
tt0073453	Night Moves	Q1218655	null	5626
tt0071771	The Longest Yard	Q1218665	1012665-longest_yard	2365
tt0091341	Kin-dza-dza!	Q1415194	null	23644
tt1349482	Bring It On: Fight to the Finish	Q1526817	null	58311
tt0080097	The Villain	Q1527383	the_villain_1979	16340
tt0054038	The Lost World	Q1527783	lost_world	15629
tt0046949	The Egyptian	Q1528304	egyptian	7132
tt0075119	A Slave of Love	Q1528336	null	25497
tt0043614	The Idiot	Q1194546	null	5341
tt0113419	The Indian in the Cupboard	Q1194561	indian_in_the_cupboard	5632
tt0429727	The Caiman	Q1194587	null	36233
tt0080948	The Jazz Singer	Q1194604	1010979-jazz_singer	11033
tt1013860	Dylan Dog: Dead of Night	Q1268749	dead-of-night-2009	57766
tt0060862	The Professionals	Q1218318	null	3214
tt0109439	City Slickers II: The Legend of Curly's Gold	Q1218462	city_slickers_ii_the_legend_of_curlys_gold	4738
tt0094799	Bright Lights, Big City	Q1218481	1003098-bright_lights_big_city	3288
tt0080436	The Big Brawl	Q1218517	null	13497
tt0082474	The Great Muppet Caper	Q1218526	great_muppet_caper	7140
tt0233230	Après la vie	Q1587454	after_the_life	8852
tt0790618	Remember the Daze	Q2415155	1194262-remember_the_daze	49943
tt0082245	Deadly Blessing	Q2415347	null	9986
tt0120536	The Wrong Guy	Q2415391	wrong_guy	8618
tt0090248	Vampire Hunter D	Q2416674	vampire-hunter-d	11453
tt1045655	The Haunting of Molly Hartley	Q2417231	haunting_of_molly_hartley	51496
tt0227277	Plata Quemada	Q2418707	burnt_money	16695
tt0775488	Illegal Tender	Q1588167	illegal_tender	38768
